ratio,[ 0.66986662]
Anonymous
[23.099999999999998],20.163990000003135
optimal,[ 30.1015]
0,10.972509720156818
0.1,10.916126915369798
0.2,11.138725409657004
0.30000000000000004,11.186124657751
0.4,10.80266549891077
0.5,10.946038633469087
0.6,10.972263755074756
0.7,11.023387988555946
0.7999999999999999,10.996730366369148
0.8999999999999999,11.122749245703156
0.9999999999999999,10.950714245370907
1.0999999999999999,10.967685038531709
1.2,10.975574984934189
1.3,11.112360339195108
1.4000000000000001,10.881104566455582
1.5000000000000002,11.001582451686922
1.6000000000000003,10.984697082284805
1.7000000000000004,10.854824982228473
1.8000000000000005,11.049752964742567
1.9000000000000006,11.020444905766427
2.0000000000000004,11.023039626261918
2.1000000000000005,10.917635603917981
2.2000000000000006,10.877381154817515
2.3000000000000007,11.027840132465528
2.400000000000001,10.948169552732647
2.500000000000001,10.912950541504015
2.600000000000001,11.00643607744421
2.700000000000001,10.87281535232942
2.800000000000001,11.011418900027468
2.9000000000000012,11.075585702902558
3.0000000000000013,11.025375703066318
3.1000000000000014,11.004582029048061
3.2000000000000015,10.975184986855851
3.3000000000000016,10.908337008251461
3.4000000000000017,10.872963411581162
3.5000000000000018,10.987556222893801
3.600000000000002,10.918988518780422
3.700000000000002,10.811885722507109
3.800000000000002,11.061504933863285
3.900000000000002,10.921321436213612
4.000000000000002,11.006259429430264
4.100000000000001,11.150271875192082
4.200000000000001,10.843125269266197
4.300000000000001,10.979490151616448
4.4,10.986727937124474
4.5,11.042559296075568
4.6,10.86654265455603
4.699999999999999,11.007201358128635
4.799999999999999,10.883072989379986
4.899999999999999,11.063042913860187
4.999999999999998,11.024752431598774
5.099999999999998,10.997371708315759
6.099999999999998,10.933730547657147
7.099999999999998,11.032867668160325
8.099999999999998,11.202142015093758
9.099999999999998,11.456533641864501
10.099999999999998,11.806160877758403
11.099999999999998,12.185433436153142
12.099999999999998,12.665422570553449
13.099999999999998,13.214235714114064
14.099999999999998,13.83554367400145
15.099999999999998,14.415618678367755
16.099999999999998,15.15332000000269
17.099999999999998,15.889320000002783
18.099999999999998,16.69544000000289
19.099999999999998,17.302690000002922
20.099999999999998,18.112110000003014
21.099999999999998,18.72414000000304
22.099999999999998,19.428110000003084
23.099999999999998,20.163990000003135
