ratio,[ 0.66471602]
Anonymous
[4.000000000000002],3.9584943586528061
optimal,[ 5.95516619]
0,1.4186483073738698
0.1,1.4253982868333217
0.2,1.4389063257491419
0.30000000000000004,1.4674638085546525
0.4,1.4634333231807708
0.5,1.4497671394471356
0.6,1.4458544505274431
0.7,1.4670267829787338
0.7999999999999999,1.4312513801207778
0.8999999999999999,1.4468242585941373
0.9999999999999999,1.4556629546216748
1.0999999999999999,1.5011500646619576
1.2,1.5622289679025763
1.3,1.632494817475455
1.4000000000000001,1.6970275890767661
1.5000000000000002,1.7669108530880051
1.6000000000000003,1.862850141268011
1.7000000000000004,1.9471970459158279
1.8000000000000005,2.0318779704336905
1.9000000000000006,2.0882724839756133
2.0000000000000004,2.1914914688134663
2.1000000000000005,2.2796541407068229
2.2000000000000006,2.351934320784038
2.3000000000000007,2.4320363374824372
2.400000000000001,2.5413248945077922
2.500000000000001,2.6224538477174777
2.600000000000001,2.7200219004585113
2.700000000000001,2.8131647164698514
2.800000000000001,2.8956045359931735
2.9000000000000012,2.9997535176801988
3.0000000000000013,3.0818598270463142
3.1000000000000014,3.1616065484299267
3.2000000000000015,3.2678246407205775
3.3000000000000016,3.3628796566944059
3.4000000000000017,3.4469581781806804
3.5000000000000018,3.5378781873291563
3.600000000000002,3.6225307598251617
3.700000000000002,3.7061948613735063
3.800000000000002,3.8051400501780379
3.900000000000002,3.8952867364542429
4.000000000000002,3.9584943586528061
